work_type_code,work_type_name_ru,family_code,basis_key,label_ru,uom_code,status,notes
WT-FACADE-WET,Фасад “мокрый” (СФТК),facade,height_m,"Высота фасада, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-FACADE-WET,Фасад “мокрый” (СФТК),facade,length_m,"Длина фасада, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-FACADE-WET,Фасад “мокрый” (СФТК),facade,area_wall_m2,"Площадь проёмов, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-FACADE-WET,Фасад “мокрый” (СФТК),facade,pipe_length_m,"Периметр проёмов, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-FACADE-WET-SYSTEM,Фасад: «мокрый» (ETICS),facade,area_m2,"Площадь фасада, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-FACADE-WET-SYSTEM,Фасад: «мокрый» (ETICS),facade,perimeter_m,"Периметр фасада, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-FACADE-WET-SYSTEM,Фасад: «мокрый» (ETICS),facade,height_m,"Высота фасада, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-FACADE-WET-SYSTEM,Фасад: «мокрый» (ETICS),facade,length_m,"Длина фасада, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-FACADE-WET-SYSTEM,Фасад: «мокрый» (ETICS),facade,area_wall_m2,"Площадь проёмов, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-FACADE-WET-SYSTEM,Фасад: «мокрый» (ETICS),facade,pipe_length_m,"Периметр проёмов, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-FLOOR-LAMINATE,Ламинат/плинтус,floor,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-FLOOR-LAMINATE,Ламинат/плинтус,floor,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-FLOOR-LAMINATE,Ламинат/плинтус,floor,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-FLR-HEAT-ELEC,Тёплый пол электрический (кабель/маты),floor,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-FLR-HEAT-WATER,Тёплый пол водяной,floor,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-FLR-HEAT-WATER,Тёплый пол водяной,floor,pipe_length_m,"Длина трубы, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-FLR-TOPPING,Пол: топпинг/устройство,floor,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-FND-MKD,Фундамент многоэтажного дома (ленточный/монолитный),concrete,volume_m3,"Объём бетона, м³ (авто)",м³,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-GKL,Монтаж ГКЛ/каркаса,gkl,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-GKL-CEIL-PRO,ГКЛ потолок (PRO),gkl,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-GKL-WALL,ГКЛ стены/перегородки,gkl,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-GKL-WALL,ГКЛ стены/перегородки,gkl,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-GKL-WALL-PRO,ГКЛ стены/перегородки (PRO),gkl,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-GKL-WALL-PRO,ГКЛ стены/перегородки (PRO),gkl,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-HVAC,Вентиляция/кондиционирование,hvac,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-HVAC,Вентиляция/кондиционирование,hvac,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-HYDRO,Гидроизоляция,hydro,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-HYDRO,Гидроизоляция,hydro,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-HYDRO-FOUND-PRO,Гидроизоляция фундамента (PRO),concrete,area_m2,"Площадь бетонирования, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-INSUL-CEIL-INT,Утепление / звукоизоляция потолков,insul,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-INSUL-CEIL-PRO,Утепление / звукоизоляция потолков (PRO),insul,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-INSUL-WALL-PRO,Утепление / звукоизоляция стен (PRO),insul,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-LEVEL,Наливной пол,floor,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-LEVEL,Наливной пол,floor,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-MASONRY-BLOCK,Кладка блоков (газоблок),masonry,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-MASONRY-BLOCK,Кладка блоков (газоблок),masonry,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-MASONRY-BLOCK,Кладка блоков (газоблок),masonry,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-MASONRY-BRICK,Кладка кирпича,masonry,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-MASONRY-BRICK,Кладка кирпича,masonry,height_m,Высота облицовки,м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-MASONRY-BRICK,Кладка кирпича,masonry,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-MASONRY-BRICK,Кладка кирпича,masonry,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-MASONRY-BRICK-CLINKER,Кладка облицовочная: кирпич клинкер,masonry,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-MASONRY-BRICK-CLINKER,Кладка облицовочная: кирпич клинкер,masonry,height_m,Высота облицовки,м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-MASONRY-BRICK-CLINKER,Кладка облицовочная: кирпич клинкер,masonry,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-MASONRY-BRICK-CLINKER,Кладка облицовочная: кирпич клинкер,masonry,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-PAINT,Покраска стен/потолков,finish,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-PAINT-INT,Покраска (интерьер),finish,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-PLASTER,Штукатурка стен,finish,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-PLASTER,Штукатурка стен,finish,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-PLASTER-FACADE,Фасад: утепление и декоративная штукатурка,roof,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-PLASTER-INT,Штукатурка внутренних стен,finish,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-PLASTER-INT,Штукатурка внутренних стен,finish,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-PLASTER-WALL-PRO,Штукатурка стен по маякам (PRO),finish,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-PLASTER-WALL-PRO,Штукатурка стен по маякам (PRO),finish,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-PLINTH,Плинтуса (монтаж),floor,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-PLMB,Сантехника/трубопроводы,plumb,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-PLMB,Сантехника/трубопроводы,plumb,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-PLMB,Сантехника/трубопроводы,plumb,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-PUTTY,Шпаклёвка (финиш),finish,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-PUTTY,Шпаклёвка (финиш),finish,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-RF-CARPET,Фальшпол с ковровым покрытием,floor,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-RF-HPL,Фальшпол с HPL антистатиком (панели ESD),floor,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-RF-PORCELAIN,Фальшпол под керамогранит (усиленный),floor,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-RF-PVC,Фальшпол с ПВХ-ESD покрытием,floor,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ROAD-MARKING,Дорожная разметка,ext,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ROAD-MEDIAN,Разделительный барьер / отбойник,ext,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ROOF-FRAME,Стропильная система / обрешётка (общ.),roof,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ROOF-FRAME-MTL,Обрешётка/каркас под металл,roof,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ROOF-FRAME-SHINGLE,Обрешётка/каркас под ГЧ,roof,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ROOF-FRAME-SHINGLE,Обрешётка/каркас под ГЧ,roof,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ROOF-FRAME-SLATE,Обрешётка/каркас под шифер,roof,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ROOF-FRAME-SLATE,Обрешётка/каркас под шифер,roof,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ROOF-METAL,Кровля: металл (общ.),roof,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ROOF-METAL,Кровля: металл (общ.),roof,perimeter_m,"Периметр фасада/контур, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ROOF-MTL,Кровля: металлочерепица,roof,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ROOF-ROLLED,Кровля: рулонные материалы,roof,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ROOF-SANDWICH,Кровля: сэндвич-панели,roof,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ROOF-SHINGLE,Кровля: гибкая черепица,roof,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-ROOF-SLATE,Кровля: шифер,roof,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-SCREED,Стяжка пола,floor,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-SCREED,Стяжка пола,floor,volume_m3,"Объём грунта под фундамент (траншеи/котлован), м³",м³,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-CANOPY-GABLE,Навес двускатный (металл),roof,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-CANOPY-HIP,Навес вальмовый (металл),roof,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-CANOPY-LEAN,Навес односкатный (металл),roof,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-CUT,Резка металла,metal,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-DRILL,Сверление отверстий,metal,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-FENCE-MESH,Металлоконструкции: забор из сетки,metal,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-FENCE-PROF,Металлоконструкции: забор из профлиста,metal,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-GATE-OVERHEAD,Металлоконструкции: ворота подъемные (секционные),metal,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-GATE-OVERHEAD,Металлоконструкции: ворота подъемные (секционные),metal,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-GATE-SLIDE,Металлоконструкции: ворота откатные,metal,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-GATE-SLIDE,Металлоконструкции: ворота откатные,metal,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-GATE-SWING,Металлоконструкции: ворота распашные,metal,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-GATE-SWING,Металлоконструкции: ворота распашные,metal,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-PAINT,Окраска металлоконструкций,metal,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-PAINT,Окраска металлоконструкций,metal,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-PRIME,Металлоконструкции: грунтование,metal,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-PRIME,Металлоконструкции: грунтование,metal,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-RAILING,Металлоконструкции: перила/ограждения,metal,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-STAIR,Металлоконструкции: лестница (металл),metal,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-STAIR,Металлоконструкции: лестница (металл),metal,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-TRUSS-HEAVY,Металлоконструкции: ферма (усиленная),metal,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-TRUSS-HEAVY,Металлоконструкции: ферма (усиленная),metal,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-TRUSS-LIGHT,Металлоконструкции: ферма (облегчённая),metal,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-TRUSS-LIGHT,Металлоконструкции: ферма (облегчённая),metal,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-WELD-MIG-A4,"Сварка MIG/MAG, катет a=4 мм",metal,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-STEEL-WELD-MMA,Сварка ручная дуговая (MMA),metal,length_m,"Длина балки, м",м,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-SUBBASE-PRO,Подготовка основания под фундамент (PRO),concrete,area_m2,"Площадь бетонирования, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-TILE,Плитка (пол/стены),tile,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-WALLPAPER,Обои (поклейка),finish,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-WASTE,Вывоз мусора/утилизация,waste,volume_m3,"Объём грунта под фундамент (траншеи/котлован), м³",м³,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-WINDOW-AL,Окна алюминиевые / витражи,windows,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-WINDOW-AL,Окна алюминиевые / витражи,windows,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-WINDOW-PVC,Окна ПВХ (монтаж/замена),windows,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-WINDOW-PVC,Окна ПВХ (монтаж/замена),windows,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-WINDOW-REVEAL,Откосы и подоконники (внутренние),windows,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-WINDOW-REVEAL,Откосы и подоконники (внутренние),windows,count,Количество,шт,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui
WT-WP,Гидроизоляция,hydro,area_m2,"Площадь металлоконструкций, м²",м²,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui